1.5946e-06,0.0013361,0.001293,0.0078948
1.4198e-06,-0.00055784,2.5262e-05,0.010273
1.4109e-06,-0.000697,6.2917e-06,-0.0034533
-5.4684e-07,-0.00050072,-0.001619,0.00068756
3.1785e-07,-0.00058708,-0.00042241,-0.0058718
2.4634e-07,2.5403e-05,0.0003256,0.0014407
1.4198e-06,-0.00055784,2.5262e-05,0.010273
1.889e-06,0.0037305,7.1432e-05,0.02476
6.5673e-07,-0.00046083,-3.3371e-06,-0.0044123
-4.4502e-07,0.0010172,8.8672e-05,0.0047801
-4.1648e-08,8.3007e-05,-0.00017817,-0.0116
7.3508e-07,-2.8052e-05,4.7358e-05,0.0005587
1.4109e-06,-0.000697,6.2917e-06,-0.0034533
6.5673e-07,-0.00046083,-3.3371e-06,-0.0044123
2.1926e-06,0.0013221,5.4126e-05,0.0024035
-5.9602e-07,-3.1203e-06,-7.2297e-05,-0.00083013
6.4117e-07,0.00031473,2.2776e-05,0.0018674
-3.8453e-07,-1.543e-05,-7.3288e-05,-0.0011411
-5.4684e-07,-0.00050072,-0.001619,0.00068756
-4.4502e-07,0.0010172,8.8672e-05,0.0047801
-5.9602e-07,-3.1203e-06,-7.2297e-05,-0.00083013
9.6897e-06,0.001381,0.0029005,0.0031857
5.687e-06,-0.0026809,0.00014364,-0.0010769
4.0602e-06,-3.6705e-05,-4.7682e-05,-0.00029696
3.1785e-07,-0.00058708,-0.00042241,-0.0058718
-4.1648e-08,8.3007e-05,-0.00017817,-0.0116
6.4117e-07,0.00031473,2.2776e-05,0.0018674
5.687e-06,-0.0026809,0.00014364,-0.0010769
8.9695e-06,0.0098261,0.0007798,0.010218
-3.7868e-06,6.553e-05,-0.00032094,-0.00026157
2.4634e-07,2.5403e-05,0.0003256,0.0014407
7.3508e-07,-2.8052e-05,4.7358e-05,0.0005587
-3.8453e-07,-1.543e-05,-7.3288e-05,-0.0011411
4.0602e-06,-3.6705e-05,-4.7682e-05,-0.00029696
-3.7868e-06,6.553e-05,-0.00032094,-0.00026157
1.1321e-05,3.3714e-06,0.0006,0.001501
