2.4248e-06,4.8858e-06,0.00015573
1.2376e-06,3.6761e-06,-5.9818e-05
2.1214e-06,3.4813e-06,-0.00011107
-1.4672e-05,-1.1375e-05,-9.3289e-05
-7.373e-07,-1.6119e-05,9.7959e-05
1.0812e-06,-5.674e-06,0.00013051
1.2376e-06,3.6761e-06,-5.9818e-05
7.0259e-05,6.3792e-05,0.0098419
1.8778e-05,7.3251e-05,0.002484
0.00011171,4.4947e-05,-0.00014006
-0.00042904,-0.00013788,-0.0026578
-0.00017876,-0.00017758,0.0017795
2.1214e-06,3.4813e-06,-0.00011107
1.8778e-05,7.3251e-05,0.002484
6.3534e-06,9.4974e-05,0.0010505
1.7458e-05,4.6657e-05,1.2566e-05
-0.00010959,-0.00014505,-0.00097207
-4.4627e-05,-0.00022667,-3.0687e-05
-1.4672e-05,-1.1375e-05,-9.3289e-05
0.00011171,4.4947e-05,-0.00014006
1.7458e-05,4.6657e-05,1.2566e-05
0.00048596,0.00015594,0.00040687
-0.00067726,-3.3476e-05,-8.8045e-05
-0.00028954,-0.00011489,-0.00028109
-7.373e-07,-1.6119e-05,9.7959e-05
-0.00042904,-0.00013788,-0.0026578
-0.00010959,-0.00014505,-0.00097207
-0.00067726,-3.3476e-05,-8.8045e-05
0.0037822,0.00045399,0.0050521
0.0011205,0.00034963,-0.000239
1.0812e-06,-5.674e-06,0.00013051
-0.00017876,-0.00017758,0.0017795
-4.4627e-05,-0.00022667,-3.0687e-05
-0.00028954,-0.00011489,-0.00028109
0.0011205,0.00034963,-0.000239
0.00081286,0.00068693,0.0021696
