6.434e-05,9.9074e-05,1.2174e-05,7.4618e-05,1.3676e-05
8.7527e-06,2.6652e-06,1.4931e-05,3.5526e-05,-9.1785e-06
-6.8656e-05,-9.3503e-05,2.6371e-05,-9.289e-06,-5.0362e-05
5.5625e-06,-0.00015245,-1.9247e-05,-0.00017564,-6.8074e-05
1.2841e-05,5.8484e-05,-1.3751e-05,3.5496e-05,9.3918e-06
1.4962e-05,0.00018255,-3.607e-05,4.7102e-05,0.00016558
8.7527e-06,2.6652e-06,1.4931e-05,3.5526e-05,-9.1785e-06
9.7224e-05,0.00012964,3.2445e-05,9.0819e-05,3.1173e-05
3.3895e-05,0.00026134,5.5092e-05,0.00013074,9.1622e-05
4.1534e-05,-0.00013313,-4.1579e-05,-0.00019486,1.0183e-05
-9.7381e-05,-0.00038189,-4.7945e-05,-0.00018431,-0.0001331
3.1767e-05,-0.00015169,-7.9662e-05,3.7353e-05,-0.00030743
-6.8656e-05,-9.3503e-05,2.6371e-05,-9.289e-06,-5.0362e-05
3.3895e-05,0.00026134,5.5092e-05,0.00013074,9.1622e-05
0.00011928,0.00063583,9.4548e-05,0.0002485,0.00032484
2.7601e-06,-0.00012341,-7.0372e-05,-0.00018143,0.00017657
-5.01e-05,-0.00083548,-8.0909e-05,-0.00037194,-0.00031669
-1.3148e-05,-0.00052954,-0.00013694,2.0889e-05,-0.0010999
5.5625e-06,-0.00015245,-1.9247e-05,-0.00017564,-6.8074e-05
4.1534e-05,-0.00013313,-4.1579e-05,-0.00019486,1.0183e-05
2.7601e-06,-0.00012341,-7.0372e-05,-0.00018143,0.00017657
0.00027593,0.00097405,0.00045841,0.0012659,0.00058092
0.00017315,3.741e-05,0.00066477,-3.6347e-05,0.00019305
0.00043633,-0.00048511,0.0013024,-0.00032091,-0.00085129
1.2841e-05,5.8484e-05,-1.3751e-05,3.5496e-05,9.3918e-06
-9.7381e-05,-0.00038189,-4.7945e-05,-0.00018431,-0.0001331
-5.01e-05,-0.00083548,-8.0909e-05,-0.00037194,-0.00031669
0.00017315,3.741e-05,0.00066477,-3.6347e-05,0.00019305
0.00049147,0.0019648,0.0010964,0.00075602,0.0015709
0.00041399,0.0011734,0.0020945,0.00011476,0.0031683
1.4962e-05,0.00018255,-3.607e-05,4.7102e-05,0.00016558
3.1767e-05,-0.00015169,-7.9662e-05,3.7353e-05,-0.00030743
-1.3148e-05,-0.00052954,-0.00013694,2.0889e-05,-0.0010999
0.00043633,-0.00048511,0.0013024,-0.00032091,-0.00085129
0.00041399,0.0011734,0.0020945,0.00011476,0.0031683
0.0009634,0.0013958,0.0041355,0.00015673,0.0099572
