Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.369584	-0.410972	0.365034	-0.000278213	-0.000219365	0.000110449
0.369582	-0.410973	0.364995	0.000241426	0.000192402	-5.27176e-05
0.650747	0.254895	0.31036	-9.7238e-05	-3.34204e-05	0.00107818
0.650749	0.254894	0.310363	0.00044608	-0.000623028	0.00119788
0.650763	0.254849	0.310357	0.000388609	-0.000604575	0.000486232
0.650767	0.254837	0.310356	0.00218219	-0.0041071	0.00142968
0.65077	0.254833	0.310357	0.00281758	-0.00529437	0.000861169
0.65077	0.254833	0.310356	0.00126786	-0.00125408	0.000429831
0.650774	0.254827	0.310356	0.000336053	7.70049e-05	0.00114589
0.650775	0.254818	0.310348	-0.00102926	0.000186672	0.00036558
0.650777	0.254816	0.310352	0.00144189	-0.00300217	0.00311487
0.650778	0.25481	0.310341	0.00106064	-0.00389844	-0.00190869
0.65078	0.254804	0.310344	0.000214809	-0.00204481	0.000102594
0.650781	0.254802	0.310337	-0.000123698	-0.00236603	-0.0036462
0.650783	0.254797	0.310336	0.000374644	-0.0035652	-0.00410882
0.650785	0.254791	0.310339	0.000253244	-0.00294155	-0.00253009
0.650789	0.254782	0.310337	0.00222247	-0.00553579	-0.00122737
0.650791	0.25478	0.31034	0.00258911	-0.00512877	0.000844447
0.650793	0.254774	0.310336	0.00274443	-0.00650858	-0.000463341
0.650793	0.25477	0.310337	0.00223343	-0.00585625	0.000666911
0.650796	0.254759	0.310333	0.00315991	-0.00864099	-0.000806038
0.650798	0.254755	0.310329	0.00190262	-0.00542309	-0.00217223
0.6508	0.254746	0.310333	0.00247791	-0.00720748	-0.000103453
0.6508	0.254744	0.310329	0.00216148	-0.00618458	-0.00128564
0.650806	0.254728	0.310324	0.00271785	-0.00814346	-0.00212532
0.650806	0.254727	0.310323	0.00183071	-0.00608281	-0.00182058
0.650808	0.254719	0.310318	0.002075	-0.00677216	-0.00258609
0.650814	0.254708	0.310319	0.00268182	-0.00667959	-0.00112834
0.650815	0.2547	0.310315	0.00224253	-0.00690561	-0.00219886
0.650819	0.254688	0.310314	0.00318778	-0.00884758	-0.0014369
0.650823	0.254678	0.310314	0.00324334	-0.00886005	-0.00130967
