Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.370454	-0.398364	0.386892	-0.000913237	-0.00237554	0.00135312
0.370499	-0.398384	0.386997	0.00468716	0.00112334	0.00460333
0.611545	0.1147	0.278213	-0.000677036	0.00203393	-0.00111609
0.611543	0.114705	0.278212	-0.00156333	0.00201059	-0.00162319
0.611542	0.114702	0.278213	-0.00187362	0.000231134	-0.00200673
0.611541	0.114702	0.27821	-0.00146584	0.000241248	-0.00213589
0.611541	0.114705	0.278211	-0.000823809	0.000775972	-0.000564184
0.61154	0.114705	0.27821	-0.0004032	-0.000529027	-0.000498569
0.611541	0.114705	0.278205	-0.000890387	-0.000344621	-0.00265297
0.611538	0.114704	0.278207	-0.00109384	-0.000296651	-0.000461515
0.611535	0.114709	0.278202	-0.00128528	0.00150779	-0.00161701
0.611534	0.114707	0.278201	-0.00050569	0.000494452	-0.000766988
0.611532	0.11471	0.278201	-0.000669939	0.000819826	0.000216546
0.611532	0.114708	0.278196	-0.000291496	5.70885e-05	-0.001258
0.61153	0.114711	0.278195	-0.00121971	0.00045346	-0.00162229
0.61153	0.11471	0.278199	-0.000442114	0.00172027	0.00128176
0.611525	0.114711	0.278189	-0.00242107	0.0016231	-0.00338987
0.611527	0.114707	0.278192	-0.000585427	-0.000377315	-0.000748952
0.611525	0.114708	0.278187	-0.000806014	-0.000228521	-0.00155602
0.611521	0.114713	0.278184	-0.00234475	0.00197913	-0.00286166
0.611521	0.114709	0.278187	-0.00138376	0.000253189	-0.000413276
0.611521	0.114706	0.278186	-0.000743735	-0.000915248	0.000158759
0.61152	0.114706	0.278183	-0.000597807	-0.000580426	-0.000551416
0.611519	0.114707	0.278183	-0.000420875	0.000167284	-0.000681999
0.611517	0.114709	0.278179	-0.000450781	0.000693158	-0.00106542
0.611516	0.114708	0.278178	-0.000570909	0.000436929	-0.000568246
0.611515	0.114703	0.278177	-0.000271699	-0.00137287	-0.000222216
0.611514	0.114701	0.278173	-0.000219706	-0.00145593	-0.000814864
0.611511	0.114702	0.27817	-0.000703024	-0.00103563	-0.00131745
0.61151	0.114708	0.278168	-0.00064696	0.0015224	-0.00101612
0.611511	0.114701	0.278169	0.000297459	-0.00111022	0.00021217
0.611508	0.114706	0.278165	-0.000477643	0.000849097	-0.000809114
0.611507	0.1147	0.278162	-0.00116226	-0.00122276	-0.00218274
0.611506	0.114704	0.278163	-0.00175236	0.000143743	-0.00192572
0.611506	0.114699	0.278159	-0.000790128	-0.00153186	-0.00225811
0.611504	0.1147	0.278159	-0.00171402	-5.16111e-05	-0.00182925
0.611505	0.1147	0.278159	-0.00191722	-0.000736359	-0.00237829
0.611501	0.114698	0.27815	-0.00205428	-0.00114968	-0.00381011
0.611503	0.114696	0.278154	-0.000481161	-0.00119834	-0.00100484
0.6115	0.114693	0.278147	-0.000855891	-0.00198635	-0.00219859
0.611499	0.114693	0.27815	-0.000699187	-0.000753151	-0.000477156
0.611496	0.114694	0.278146	-0.000903144	-5.88601e-05	-0.000731196
0.611494	0.114692	0.27814	-0.00101485	-4.27647e-05	-0.00210939
0.611494	0.114694	0.278143	-0.000674689	-0.00138097	-0.00296218
0.611493	0.114691	0.278143	-0.00152588	-0.00234266	-0.00288206
0.611493	0.114688	0.278138	-0.00189869	-0.00231537	-0.0044004
0.611491	0.114689	0.278134	-0.00164378	-0.00113795	-0.00392158
0.611492	0.114684	0.278141	-0.000392556	-0.00237285	-0.000179899
0.611489	0.11469	0.278136	-0.00211369	0.00030096	-0.00258098
0.611487	0.114684	0.278133	-0.00152768	-0.00149125	-0.00239382
0.611487	0.114685	0.27813	-0.00077226	-0.000714117	-0.00221929
0.611484	0.114687	0.278128	-0.00133811	0.000543516	-0.00181057
0.611485	0.114688	0.27813	-0.00140731	0.000826021	-0.00124425
0.611485	0.11468	0.278128	-0.000621522	-0.00217863	-0.00164129
0.61148	0.114684	0.278124	-0.00173136	0.000611701	-0.00180892
0.611481	0.114682	0.278125	-0.00152914	-0.000842259	-0.00131509
0.61148	0.114675	0.278119	-0.0011877	-0.0023065	-0.00200427
0.611479	0.114675	0.278115	-0.000927454	-0.00152774	-0.00201833
0.611481	0.114679	0.278123	9.53933e-05	0.000175803	0.000954753
0.611476	0.114677	0.27811	-0.00104269	-3.89758e-05	-0.00237972
0.611477	0.114675	0.278114	-0.00123872	-0.000663306	-0.00192325
0.611476	0.114675	0.278114	-0.00196897	-2.39921e-05	-0.00217384
0.611474	0.114674	0.278113	-0.00160528	-0.000646291	-0.00145761
0.611474	0.114678	0.278107	-0.00111339	0.00125077	-0.00210342
0.611473	0.114673	0.278107	-0.000838456	-0.00028313	-0.0013156
0.611472	0.114672	0.278106	-0.000539225	-0.000763747	-0.000459056
0.611469	0.114674	0.278104	-0.000866125	0.000545571	-0.00071741
0.611469	0.114675	0.278104	-0.00140241	0.000821368	-0.00143606
0.611466	0.114672	0.278099	-0.00236744	-0.000800542	-0.00371556
0.611467	0.114668	0.278098	-0.000991797	-0.00145421	-0.0019999
0.611467	0.114669	0.278102	-0.000715597	-0.000499481	0.000268204
0.611465	0.114669	0.278095	-0.000463999	-0.000329372	-0.00130176
0.611463	0.114669	0.278094	-0.000580758	-0.000261642	-0.000751501
