time	Vl_x	Vl_y	Vl_z	Xl_x	Xl_y	Xl_z	Fl_x	Fl_y	Fl_z	first_packet
0.000000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.000000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.001000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.002000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.003000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.004000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.005000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.006000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.007000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.008000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.009000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.010000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.011000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.012000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.013000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.014000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.015000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.016000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.017000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.018000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.019000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.020000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.021000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.022000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.023000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.024000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.025000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.026000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.027000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.028000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.029000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.030000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.031000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.032000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.033000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.034000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.035000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
0.036000	0.000000	0.000000	0.000000	0.066997	0.582558	0.286928	0.000000	0.000000	0.000000	1
