9.8404e-06,1.5083e-05,1.4853e-05,1.6397e-05
-5.1982e-06,-4.655e-06,-2.0907e-05,2.9316e-05
-2.3605e-05,-4.0634e-05,-6.2398e-05,3.0736e-05
-9.9348e-06,-7.5507e-05,-1.567e-05,-1.7113e-06
3.487e-05,-4.5761e-07,5.1289e-06,-5.0948e-05
3.2147e-05,0.0001586,5.7112e-06,4.8349e-05
-5.1982e-06,-4.655e-06,-2.0907e-05,2.9316e-05
0.00012322,9.1592e-05,0.00020821,0.00013636
0.00023466,0.00023291,0.00051049,6.7447e-05
-0.00052233,-5.7199e-05,-2.7651e-06,7.8292e-05
-0.00023026,-0.00029375,-0.00011129,-0.00011653
6.8039e-05,-0.00039198,-0.00018303,0.00017429
-2.3605e-05,-4.0634e-05,-6.2398e-05,3.0736e-05
0.00023466,0.00023291,0.00051049,6.7447e-05
0.0004682,0.00069019,0.0012676,6.1283e-05
-0.00094504,-3.6553e-05,1.2375e-05,7.7063e-06
-0.00046798,-0.00077093,-0.00026381,-9.9991e-05
7.3027e-05,-0.0013663,-0.00043778,0.00010269
-9.9348e-06,-7.5507e-05,-1.567e-05,-1.7113e-06
-0.00052233,-5.7199e-05,-2.7651e-06,7.8292e-05
-0.00094504,-3.6553e-05,1.2375e-05,7.7063e-06
0.0036295,0.00067325,0.00051966,0.00033432
0.0014938,0.00043875,0.00073711,0.00039305
1.8098e-05,-0.00055244,0.0013529,0.00054389
3.487e-05,-4.5761e-07,5.1289e-06,-5.0948e-05
-0.00023026,-0.00029375,-0.00011129,-0.00011653
-0.00046798,-0.00077093,-0.00026381,-9.9991e-05
0.0014938,0.00043875,0.00073711,0.00039305
0.00084075,0.0018795,0.0013191,0.0011023
0.00015627,0.0029841,0.0023204,0.00065836
3.2147e-05,0.0001586,5.7112e-06,4.8349e-05
6.8039e-05,-0.00039198,-0.00018303,0.00017429
7.3027e-05,-0.0013663,-0.00043778,0.00010269
1.8098e-05,-0.00055244,0.0013529,0.00054389
0.00015627,0.0029841,0.0023204,0.00065836
0.00036786,0.0085681,0.0042098,0.0011627
