Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.56271	-0.0452075	0.0589425	0.000735689	0.000850719	0.000498689
0.550392	-0.300209	0.160817	1.27696e-07	0.000132457	0.000644794
0.550393	-0.300211	0.160816	1.12524e-05	-0.000516997	-0.000412498
0.550394	-0.300209	0.160816	0.000622965	0.000600024	0.000158413
0.550394	-0.30021	0.160818	0.000201056	-7.78448e-05	0.000210335
0.550389	-0.300212	0.160811	-0.00164831	-0.00126831	-0.00158553
0.550395	-0.300211	0.160821	0.00103195	-0.000321944	0.00207864
0.550395	-0.300206	0.160814	0.000705027	0.00154252	-0.000682648
0.550391	-0.300212	0.160815	-0.000583491	-0.000984131	-0.000352579
0.550391	-0.300211	0.160814	-0.00050063	-8.75353e-05	-0.000604237
0.550394	-0.30021	0.160819	0.000536591	0.000265723	0.000917575
0.550394	-0.300208	0.160818	3.18382e-05	0.000267841	0.000347253
0.550392	-0.300212	0.160819	-0.00019603	-0.000951374	0.000642804
0.55039	-0.300212	0.160817	-0.000564152	-0.000552032	-0.000107711
0.550389	-0.300215	0.160817	-0.000802011	-0.00134857	0.000209041
0.550391	-0.300209	0.160814	0.000280078	0.00111338	-0.000726295
0.550394	-0.300206	0.160812	0.00110397	0.00163023	-0.000937729
0.550392	-0.300211	0.160815	9.18648e-05	-0.000489005	9.37337e-05
0.55039	-0.300209	0.160813	-0.000695423	0.000490033	-0.00103391
0.550391	-0.300209	0.160813	-0.000134231	0.000237564	-0.000362235
0.550392	-0.300209	0.160816	0.000268237	-0.000553604	0.00124354
0.550393	-0.300211	0.160817	0.000736115	-0.000527452	0.000953673
0.550395	-0.300206	0.160815	0.000803745	0.00131841	-0.000293362
0.550394	-0.30021	0.160818	6.18332e-05	-0.000713032	0.00105172
0.550391	-0.30021	0.160814	-0.000776375	-0.000202272	-0.000620149
0.550394	-0.300208	0.160818	0.000757473	0.000576786	0.000653268
0.550393	-0.30021	0.160816	-6.78148e-05	-0.000530161	0.000130244
0.550394	-0.300207	0.160818	0.000223276	0.000692815	7.16902e-05
0.550392	-0.300212	0.160819	-0.000253543	-0.000602361	0.000673877
0.550392	-0.300213	0.160816	0.00014762	-0.000460195	-0.000382506
0.550391	-0.300213	0.160817	-0.000188854	-0.000772018	0.000563186
0.550392	-0.300209	0.160815	-7.42743e-05	0.000634679	-0.00055359
0.550394	-0.300208	0.160818	0.000362258	0.000250599	0.000433641
0.550395	-0.300206	0.160819	0.000707549	0.00118671	0.000913162
0.550394	-0.300208	0.160817	0.00011198	0.000306781	-0.0006087
0.550394	-0.300208	0.160816	-0.000110146	-0.000261541	-0.000279455
0.550394	-0.300208	0.160818	-0.000142988	-0.000159429	0.000529366
0.55039	-0.300211	0.160814	-0.00127933	-0.000946867	-0.00105631
0.550392	-0.300209	0.160816	-0.00016437	0.000367213	-0.000267508
0.550391	-0.300212	0.160816	-0.00043758	-0.000822862	-0.000207759
0.550391	-0.300212	0.160815	-0.000112166	-0.00062784	-0.000421244
0.550396	-0.300207	0.160821	0.00158508	0.00142035	0.00182894
0.550391	-0.30021	0.160813	-0.000414604	0.000228205	-0.0013156
0.550391	-0.300209	0.160814	-0.000147762	8.63746e-05	-0.000325709
0.550393	-0.300209	0.160818	0.00019499	-2.00776e-05	0.000856451
0.550393	-0.300211	0.160818	3.65867e-05	-0.000610213	0.000415821
0.550395	-0.30021	0.160823	0.000697852	9.60197e-05	0.00145609
0.550392	-0.300211	0.160817	-0.00290567	0.000482014	-0.00332633
0.550394	-0.300212	0.160819	-0.00165788	-0.000418936	-0.00132359
0.550393	-0.300211	0.160818	-0.00148164	0.000451402	-0.00113604
0.55039	-0.300212	0.160811	-0.00206239	4.99207e-05	-0.00346343
0.55039	-0.300209	0.160812	-0.00120801	0.000621962	-0.00167305
0.550397	-0.300207	0.16082	0.00111175	0.000984104	0.00134036
0.550391	-0.30021	0.160814	0.000678087	0.00333891	-0.00191454
0.550393	-0.300208	0.160817	0.00128284	0.00290962	0.000220415
0.55039	-0.30021	0.160814	-9.92449e-05	0.00190294	-0.00181681
0.550391	-0.300214	0.160819	0.000187319	0.000293178	0.000359417
0.550393	-0.300208	0.160814	0.000619589	0.00186108	-0.00104473
0.550392	-0.300209	0.160814	0.000385191	0.00130136	-0.000764412
0.550393	-0.300211	0.160818	0.000692699	0.000268536	0.000927054
0.55039	-0.300215	0.160819	-0.000254302	-0.000719151	0.000890893
0.550392	-0.300213	0.160816	0.000344454	-4.23951e-05	-0.000433009
0.550391	-0.300216	0.160817	-0.000348666	-0.00102559	-0.000262702
0.550391	-0.300212	0.160816	-0.000181982	0.000534823	-0.000353151
0.550392	-0.300213	0.160817	0.000274786	0.000315142	0.000129163
0.550391	-0.300216	0.160816	-0.000151477	-0.000871858	1.17279e-05
