Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.547316	-0.0500169	0.0521131	0.000331525	0.00051111	0.000424823
0.547321	-0.0500158	0.0521068	-4.24491e-05	-0.000323673	-0.000318654
0.561902	-0.31472	0.181988	-0.000260312	3.66801e-06	-0.000388205
0.561904	-0.31472	0.181992	0.000362169	-9.56987e-05	0.000940284
0.561902	-0.314722	0.181988	-0.000265347	-0.000530367	-0.000257529
0.561901	-0.31472	0.181985	-0.000374737	0.000195317	-0.00102935
0.561899	-0.31472	0.181985	-0.00224055	-0.00312921	0.000764015
0.561902	-0.314717	0.181981	0.000336785	0.00141801	-0.00207065
0.561905	-0.314718	0.181988	0.00160506	0.000884633	0.00082598
0.561903	-0.314719	0.181988	0.000267868	0.000211916	0.000396877
0.561905	-0.314715	0.181988	0.00064281	0.00115237	-0.0001152
0.561905	-0.314715	0.181987	0.000506441	0.000825211	-4.63643e-05
0.561903	-0.314718	0.181984	-0.000442721	-0.000471463	-0.000620073
0.561905	-0.314714	0.181984	0.000190061	0.000730546	-0.000911685
0.561904	-0.314717	0.181988	-3.19985e-06	-0.000451874	0.000820886
0.561903	-0.314712	0.181982	-0.000132301	0.00125828	-0.000898997
0.561903	-0.314715	0.181982	-0.00016069	0.000277892	-0.000780395
0.561904	-0.314714	0.181984	0.000207868	0.000205259	0.000550953
0.561904	-0.314715	0.181984	2.52485e-07	0.000144098	-0.000162513
0.561905	-0.314714	0.181986	0.000352567	0.000453722	0.000569253
0.561904	-0.314718	0.181989	-4.20135e-05	-0.0010982	0.0010955
0.561906	-0.314714	0.181987	0.000541592	0.000815019	-0.000336471
0.561903	-0.314714	0.181982	-0.000202149	0.000556041	-0.0012805
0.561906	-0.314714	0.181985	0.000683826	0.000244909	0.000225367
0.561905	-0.314717	0.181986	-3.08472e-05	-0.000794202	0.00046079
0.561906	-0.314713	0.181986	0.000146845	0.000496332	-0.000199796
0.561906	-0.314713	0.181986	9.39508e-05	0.000411601	-0.000301588
0.561901	-0.314717	0.18198	-0.00140613	-0.000713492	-0.00157159
0.561906	-0.314713	0.181984	0.000702514	0.00085483	0.000304919
0.561904	-0.314713	0.181982	-0.00031816	-0.000304844	5.38881e-05
0.561905	-0.314714	0.181983	-0.000283456	-0.000763645	-1.30276e-06
0.561904	-0.314713	0.181983	-4.53401e-05	7.39264e-05	0.000229195
0.561907	-0.314711	0.181985	0.000532243	0.000377012	0.00063755
0.561905	-0.314714	0.181985	-0.000209264	-6.98344e-05	-6.49071e-05
0.561905	-0.314712	0.181984	-0.00042137	-4.8245e-05	-3.71497e-05
0.561906	-0.314715	0.181985	5.35697e-05	-0.00111493	0.000307695
0.561908	-0.31471	0.181986	0.000989998	0.00131507	0.000546703
0.561906	-0.314712	0.181983	8.77405e-05	0.000362034	-0.000692263
0.561905	-0.314714	0.181984	-0.000514533	-0.000220787	-0.000608191
0.561906	-0.314714	0.181985	4.75709e-05	-0.000222645	0.000249823
0.561903	-0.314716	0.181982	-0.00101428	-0.00107723	-0.000834465
0.561904	-0.314714	0.181982	-0.000316196	-0.000222473	-0.000220873
0.561906	-0.314717	0.181991	0.000803858	-0.000741081	0.00281342
0.561906	-0.314711	0.181983	9.39305e-06	0.00108075	-0.00127715
0.561906	-0.314712	0.181984	0.000213521	0.0007588	-0.000145587
0.561909	-0.314708	0.181985	0.00134407	0.00131721	0.000580888
0.561907	-0.314712	0.181987	2.55757e-05	-0.000418887	0.000790951
0.561908	-0.314711	0.181987	0.000173132	0.000165262	0.000167188
0.561905	-0.314714	0.181988	-0.000989214	-0.000860638	0.000283537
0.561908	-0.314712	0.181988	0.000551168	0.000378499	0.000523729
0.561907	-0.314714	0.181988	-0.000147847	-0.000755333	0.000531779
0.561908	-0.314713	0.181989	0.000548326	-2.54319e-05	0.000699264
0.561906	-0.314714	0.181986	-0.000448577	-0.000517325	-0.000416397
0.561906	-0.314714	0.181989	-0.000372003	-0.000314742	0.000439526
0.561906	-0.314715	0.181986	-3.66273e-05	-0.000221991	-0.00096889
0.561907	-0.314712	0.181987	0.000354127	0.000835265	-0.000278627
0.561905	-0.314716	0.181987	-0.000584676	-0.000879971	-0.000328096
0.561905	-0.314718	0.181989	-0.000153857	-0.00112832	0.000810281
0.561907	-0.314715	0.181989	0.000166481	-0.000336717	0.000698971
0.561906	-0.314714	0.181987	-6.13942e-05	0.000356482	-0.000387372
0.561904	-0.314712	0.181985	-0.000412718	0.000775095	-0.000606317
0.561907	-0.314713	0.181988	0.000489813	-4.15638e-05	0.000451477
0.561905	-0.314715	0.181985	-0.000327047	-0.000439244	-0.000348152
0.561904	-0.314714	0.181985	-0.000312447	0.000182904	-0.000435321
0.561907	-0.314712	0.181988	0.000549884	0.000577467	0.00056828
0.561907	-0.31471	0.181987	0.000332625	0.000968983	4.87208e-05
0.561905	-0.314713	0.181987	-0.00074601	-0.000372793	-0.000326872
0.561904	-0.314713	0.181982	-0.000606199	-0.000284903	-0.00163656
0.561909	-0.314712	0.18199	0.0010884	0.000263518	0.00137131
0.561906	-0.314713	0.181985	-0.000301577	-0.000276239	-0.000847608
0.561905	-0.314713	0.181985	-0.00035288	-0.000109827	-0.000345261
0.561905	-0.314715	0.181987	-0.000513909	-0.000686984	9.47995e-05
0.561906	-0.314713	0.181985	0.0004188	0.000542661	-0.000152289
0.561904	-0.314717	0.181987	-0.000418547	-0.00118351	0.000589711
0.561904	-0.314716	0.181986	-2.77511e-05	-0.000216132	6.71665e-05
0.561903	-0.314716	0.181985	-0.000651862	-0.000115335	-0.000283544
0.561904	-0.314719	0.181991	7.07154e-05	-0.00114997	0.0017511
0.561906	-0.314718	0.181992	0.000680501	-0.000795392	0.00149573
0.561903	-0.314719	0.181989	-0.000461565	-0.000488313	-0.000393041
0.561905	-0.314719	0.181991	4.37659e-05	-0.000356023	7.24286e-05
0.561903	-0.314719	0.181986	-0.000240843	0.000289151	-0.0010023
0.561903	-0.314718	0.181989	-0.000273133	0.0002398	-0.000133707
0.561904	-0.314718	0.181987	0.000393138	0.00064368	-7.55179e-05
0.561901	-0.314721	0.181988	-0.000536375	-0.000540893	0.000118663
0.5619	-0.314721	0.181984	-0.000777898	-0.000350436	-0.00150597
0.561903	-0.31472	0.181989	0.000516047	0.000195046	0.000915556
0.561901	-0.314723	0.181991	-0.000422277	-0.00083364	0.000804276
0.561903	-0.31472	0.181987	0.00017385	0.000386649	-0.000725737
0.561901	-0.314721	0.181989	-0.000511841	-0.000103682	-7.52542e-05
0.561902	-0.314723	0.18199	-2.01784e-05	-0.00107454	0.00102534
0.561902	-0.31472	0.181986	-0.000297971	0.000245269	-0.00127526
0.5619	-0.314722	0.181989	-0.000388826	-0.000311106	0.000556356
0.561901	-0.314724	0.181989	1.58321e-05	-0.000738264	0.000368932
0.561901	-0.314722	0.181988	-0.000191543	8.54302e-06	-0.000469194
0.561896	-0.314724	0.181984	-0.00108439	-0.000432302	-0.000818821
0.561897	-0.314728	0.181988	-0.00043429	-0.00131523	0.000513187
0.5619	-0.314723	0.181986	0.000282562	0.000527322	-0.000403007
0.561898	-0.314726	0.181988	-0.000371845	-0.000539295	0.000487733
0.561901	-0.314722	0.18199	0.00101464	0.00112206	0.00083915
0.561899	-0.314725	0.18199	-0.000293276	-0.000279559	0.000203397
0.561895	-0.314727	0.181985	-0.00131179	-0.00112872	-0.00106165
0.561896	-0.314726	0.181982	-0.00031868	0.000203421	-0.00162395
0.561899	-0.314724	0.181987	0.00035983	0.000650292	-2.59183e-05
0.561897	-0.314727	0.181989	-0.000165818	-0.000590284	0.000673956
0.561896	-0.31473	0.181989	-1.47304e-05	-0.00093181	0.000949953
0.561897	-0.31473	0.18199	0.000166046	-0.000615851	0.00118839
0.561894	-0.314733	0.181988	-0.000726527	-0.00142106	-0.000254995
0.561894	-0.31473	0.181986	-0.000631965	0.000137302	-0.00085351
0.561897	-0.314731	0.181991	0.000876657	-3.56191e-05	0.00133334
0.561892	-0.314732	0.181986	-0.000976799	-0.000398834	-0.00099884
0.561894	-0.314732	0.181988	-0.000251333	-0.000353348	0.000146116
0.561894	-0.314731	0.181985	-2.48626e-05	0.000301256	-0.000587676
0.561894	-0.314735	0.181989	0.000273724	-0.000832621	0.00067243
0.561892	-0.314738	0.181988	-0.00082611	-0.00152241	-0.000237035
0.561892	-0.314736	0.181985	-0.000457393	-5.63021e-06	-0.000862885
0.561893	-0.314734	0.18199	0.000378641	0.000488325	0.000995207
0.561895	-0.314736	0.181993	0.00067	-0.000282602	0.00135297
