Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.548653	-0.0548753	0.0586781	0.000110775	0.000169555	8.28259e-05
0.548646	-0.0548839	0.0586542	-0.000503203	-0.000133907	-0.000822949
0.553608	-0.336533	0.194455	-0.00049335	0.00069714	-0.000745201
0.553604	-0.336535	0.194452	-0.00175726	-0.00104148	-0.000982376
0.553605	-0.336534	0.194452	-0.000183183	-0.000274328	3.85572e-05
0.553603	-0.336534	0.194447	-0.00156667	5.58815e-05	-0.00232079
0.553602	-0.33653	0.194444	-0.000581308	0.00165486	-0.00215102
0.553605	-0.33653	0.194451	0.000639834	0.000884634	0.00123682
0.5536	-0.336532	0.194447	-0.000607585	-0.000266224	3.03725e-05
0.5536	-0.336532	0.194445	-0.000149673	-0.000234781	-0.000858256
0.553597	-0.336531	0.194441	0.00136845	0.00339896	-0.000918467
0.553594	-0.336534	0.194442	-0.000444719	0.00179901	-0.000980301
0.553596	-0.336529	0.194443	0.000745022	0.00286598	-0.000120835
0.553594	-0.336534	0.194443	2.57306e-05	0.000541983	0.000373796
0.553591	-0.336531	0.194437	-0.000551416	0.00120995	-0.00150684
0.553592	-0.33653	0.194438	-0.00112441	0.00164045	-0.00188942
0.553588	-0.336531	0.194431	-0.00186958	0.00078204	-0.00329216
0.553587	-0.336532	0.194435	-0.000603199	0.000484522	-0.00030078
0.553584	-0.336537	0.194436	-0.000907016	-0.00116005	0.000287831
0.553585	-0.33653	0.19443	0.000149407	0.00125091	-0.0014395
0.553584	-0.336533	0.19443	-0.000130482	0.00042184	-0.000715372
0.553583	-0.33653	0.194427	-0.000440959	0.000374959	-0.000865287
0.553582	-0.336531	0.194428	-0.000522493	-0.000289041	-6.18326e-05
0.553578	-0.336535	0.194428	-0.00121278	-0.00167167	0.00010432
0.553579	-0.33653	0.194424	0.00019059	0.000911891	-0.000796992
0.553579	-0.33653	0.194424	0.000153477	0.000627603	-0.000517347
0.553578	-0.336532	0.194427	-0.000191206	-0.000602784	0.00103227
0.553578	-0.336527	0.194421	-0.000607007	0.00127392	-0.00148714
0.553574	-0.336531	0.194421	-0.00121216	-2.81141e-05	-0.000715695
0.553572	-0.336532	0.194417	-0.0023543	-0.00103288	-0.00198468
0.553572	-0.336532	0.194416	-0.00116302	-0.000844363	-0.00138381
