Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.553726	-0.045769	0.0603349	0.000184173	0.000703162	0.000195616
0.553734	-0.0457665	0.0603268	0.000768313	0.000936193	0.00100522
0.548163	-0.327969	0.16604	-0.000289689	0.000659552	-0.00131658
0.548165	-0.327965	0.166042	0.000790799	0.00194865	0.000377978
0.548167	-0.327965	0.166045	0.000934064	0.00127618	0.000737358
0.548163	-0.327972	0.166039	-0.000444442	-0.00108637	-0.0011543
0.548165	-0.327968	0.166043	0.000295083	0.000277373	0.000156398
0.548166	-0.327968	0.16604	0.000280111	0.000188231	-0.000617783
0.548164	-0.32797	0.166041	-0.000551166	-0.000812073	-4.09856e-05
0.548166	-0.327966	0.166043	0.000794404	0.000905794	0.000888151
0.548166	-0.327965	0.166039	0.000428879	0.00109508	-0.00065979
0.548168	-0.327963	0.166038	0.0007607	0.00118952	-0.00079182
0.548168	-0.327964	0.16604	0.000730228	0.000807297	0.000176524
0.54817	-0.327962	0.166043	0.000795775	0.000520296	0.00117992
0.548168	-0.327967	0.166047	2.76544e-05	-0.00117246	0.00217651
0.548165	-0.327964	0.166038	-0.000864275	0.00033728	-0.00170391
0.548168	-0.327963	0.16604	0.000555686	0.000628674	-0.000235907
0.548169	-0.327963	0.16604	0.000608139	0.000355799	-0.000191729
0.548167	-0.327964	0.166041	-0.000539811	-0.000135399	-0.000489112
0.548169	-0.327961	0.16604	0.000202319	0.000838501	-0.000304654
0.548168	-0.327964	0.166041	-0.000173512	-0.000435114	-0.000227403
0.548166	-0.327967	0.166042	-0.00106269	-0.00171266	0.000541852
0.548168	-0.327963	0.166041	-0.000170485	-0.000141156	5.54588e-05
0.548169	-0.327963	0.166041	0.000298808	0.000285001	-0.000198868
0.548169	-0.327962	0.166043	0.000213116	0.000269951	0.000626762
0.548167	-0.327963	0.166038	-0.000267533	-0.00031898	-0.000861325
0.548166	-0.327968	0.166042	-0.00068315	-0.00172619	0.000810605
0.548169	-0.327958	0.166037	0.000538726	0.00188796	-0.00133189
0.548167	-0.32796	0.166039	-0.000230797	0.000853211	-0.000124765
0.548169	-0.327963	0.166045	0.000295403	-0.000585209	0.00180515
0.548168	-0.327965	0.166041	-0.000235667	-0.000845707	-0.00026125
0.548168	-0.327964	0.166042	-0.000118452	-5.66661e-05	-0.000129557
0.548167	-0.327965	0.166043	-0.000570692	-0.000447987	8.21809e-05
0.548169	-0.327965	0.166044	0.0002577	-0.000400985	0.000397173
0.548171	-0.327962	0.166042	0.000849144	0.000646929	-0.000271752
0.548167	-0.327964	0.16604	-0.000588127	-0.000392315	-0.000492916
0.548167	-0.327966	0.166041	-0.000374894	-0.000839815	-1.9064e-05
0.548167	-0.327963	0.166039	-0.000294685	0.00051435	-0.000328599
0.548168	-0.327966	0.166045	0.00015796	-0.000766116	0.00116922
0.548165	-0.327967	0.16604	-0.000826449	-0.000923237	-0.00046743
0.548166	-0.327966	0.16604	-0.0015814	-0.00283606	0.000654505
0.548166	-0.327966	0.166041	-0.00126836	-0.00265515	0.00123506
0.548164	-0.327969	0.166042	-0.00172557	-0.00291924	0.00110595
0.548169	-0.327965	0.166044	0.000404026	-0.000722196	0.00147634
0.548168	-0.327963	0.166041	-9.34372e-05	-4.77729e-05	-3.79141e-05
0.54817	-0.327962	0.166043	0.000491576	0.0002932	0.000177513
0.548164	-0.32797	0.166043	-0.00132879	-0.00280227	0.000631082
0.548165	-0.327969	0.166043	-0.000844795	-0.00136351	0.000478607
0.548165	-0.327969	0.166041	-0.000464311	-0.000966159	-0.000221207
0.548165	-0.327965	0.166039	0.000534311	0.000363332	0.00257316
0.548163	-0.327972	0.166044	-0.000409642	-0.00182261	0.00325718
0.548161	-0.327973	0.166043	-0.000567017	-0.00130632	0.00151759
0.548162	-0.32797	0.166042	0.000128697	8.46352e-05	0.000798341
0.548165	-0.327972	0.166047	0.000618544	-0.00107507	0.00255027
0.548162	-0.327971	0.166042	3.05247e-06	-0.000152927	0.00020064
0.548163	-0.327975	0.166045	0.000134223	-0.000649797	0.000692095
0.548165	-0.327972	0.166049	0.00117232	0.000532014	0.00210798
0.548164	-0.327975	0.166046	0.000110735	-0.000674219	0.000322234
0.548165	-0.327972	0.166048	0.000689912	0.000556814	0.00117529
0.548164	-0.327973	0.166046	-0.000312204	-6.39161e-05	9.2449e-05
0.548159	-0.327976	0.166044	-0.00149213	-0.000935032	-0.000440774
0.54816	-0.327976	0.166047	-0.000842837	-0.000622444	0.000109314
0.54816	-0.32798	0.166047	-0.000242928	-0.00150838	0.000368726
0.548161	-0.327977	0.16605	8.89849e-05	2.46163e-05	0.00108728
0.548164	-0.327976	0.16605	8.67311e-05	-0.00123894	0.00121425
0.54816	-0.327978	0.166046	-0.00131229	-0.0019208	-0.000423401
0.548159	-0.32798	0.166047	-0.00130096	-0.0017891	0.000163191
0.54816	-0.32798	0.16605	-0.000575529	-0.00127985	0.00130075
0.548159	-0.32798	0.166048	-0.000437099	-0.000393693	-0.00027377
0.54816	-0.327979	0.166049	-0.000191851	-0.00032749	0.000215699
0.548158	-0.327982	0.166046	-0.000551341	-0.000786195	-0.000976293
0.548163	-0.327977	0.166049	0.00102494	0.000845619	0.000253617
0.54816	-0.327978	0.166048	-5.16618e-05	0.000176992	0.000394225
0.548159	-0.327982	0.16605	-0.000174414	-0.00150158	0.00122563
0.54816	-0.327981	0.166053	3.2158e-05	-0.000444589	0.00101868
0.548159	-0.327981	0.166049	-0.000306921	0.000225966	-0.000473287
0.54816	-0.327983	0.166056	-6.267e-05	-0.000923426	0.00135884
0.548159	-0.327983	0.166051	-3.85554e-05	-6.23753e-05	-0.000251598
0.548159	-0.327983	0.166053	-0.000122559	-3.65754e-05	0.000500071
0.548157	-0.327987	0.166053	-0.000637558	-0.00149262	0.00045354
0.548158	-0.327985	0.16605	-0.00021208	-0.000515131	-0.000905926
