Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.306945	3.93441e-05	0.486938	0.00223662	-0.00944334	-0.000593875
0.306948	2.41835e-05	0.48694	0.0034366	0.000825601	0.00231651
0.306948	1.50821e-05	0.486938	-0.000705891	-0.0029189	-0.00287322
0.306949	1.27396e-05	0.48694	0.00142063	-0.00156016	0.00212374
0.306951	9.97673e-06	0.486945	0.00152873	0.00263067	0.00505493
0.306952	1.68346e-05	0.486945	0.00145403	-0.00068304	0.000441089
0.306957	2.00098e-05	0.48695	0.00499315	0.00688815	0.00477878
0.306961	2.30441e-05	0.48695	0.00435461	-0.00173146	-0.00022745
0.306967	1.82323e-05	0.486952	0.00532491	0.0027132	0.00247556
0.306968	1.50056e-05	0.48695	0.00155183	-0.00145849	-0.00209598
0.306972	1.32612e-05	0.486953	0.00352954	-0.00252138	0.00275054
0.306975	9.03587e-06	0.486958	0.00371333	0.00045947	0.00557787
0.306979	1.15581e-05	0.48696	0.0039502	-0.00285654	0.00114056
0.306987	1.28702e-05	0.486965	0.00758451	0.00487358	0.0053546
0.306994	1.30113e-05	0.486965	0.00706029	-0.00315914	0.000147726
0.307002	9.62367e-06	0.486968	0.00807909	0.00215308	0.00291943
0.307006	6.79842e-06	0.486966	0.00414552	-0.00160217	-0.0018718
0.307012	5.48892e-06	0.486969	0.0060886	-0.0018759	0.00306515
0.307018	4.32334e-06	0.486975	0.00614496	0.00145773	0.0060163
0.307025	6.32609e-06	0.486977	0.00621921	-0.00192451	0.00162018
0.307035	9.91645e-06	0.486983	0.00979646	0.00566117	0.00593982
0.307044	9.95859e-06	0.486984	0.00925086	-0.00261878	0.000846435
0.307054	8.54899e-06	0.486987	0.0102837	0.0023364	0.00356198
0.307061	6.30797e-06	0.486986	0.00646283	-0.00154172	-0.00117855
0.307069	4.80871e-06	0.48699	0.00845762	-0.0020747	0.00367293
0.307078	3.96221e-06	0.486996	0.00858018	0.00116928	0.00654365
0.307086	4.84508e-06	0.486998	0.00870294	-0.00217166	0.00209873
0.307099	8.71045e-06	0.487005	0.0122792	0.00551302	0.00638699
0.30711	8.11846e-06	0.487006	0.0117104	-0.0026613	0.00126487
0.307123	7.65316e-06	0.48701	0.0127161	0.00243763	0.00403738
0.307132	5.7278e-06	0.487009	0.00883588	-0.00139374	-0.000696703
0.307143	4.39126e-06	0.487014	0.010803	-0.00183436	0.00420302
0.307153	4.30214e-06	0.487021	0.0109039	0.00142699	0.00710503
0.307165	4.87782e-06	0.487023	0.0110243	-0.00192893	0.00268108
0.307179	9.30687e-06	0.48703	0.0146113	0.0057011	0.00696444
0.307193	8.53142e-06	0.487032	0.014062	-0.00251209	0.00184083
0.307208	8.71711e-06	0.487037	0.0150774	0.00252826	0.00457704
0.307219	6.99202e-06	0.487037	0.0112188	-0.00131526	-0.000161047
0.307233	5.63866e-06	0.487041	0.0131898	-0.00178982	0.00472264
0.307246	5.8566e-06	0.487049	0.0132906	0.0014734	0.00761832
0.307259	6.09153e-06	0.487052	0.013406	-0.00187522	0.00319552
0.307276	1.08076e-05	0.48706	0.0169844	0.00577777	0.00748645
0.307293	9.86742e-06	0.487062	0.0164279	-0.0024169	0.00236723
0.30731	1.05487e-05	0.487067	0.0174398	0.00264327	0.00511533
0.307324	9.01986e-06	0.487067	0.0135762	-0.00119368	0.000379084
0.307339	7.75045e-06	0.487073	0.0155468	-0.00165862	0.00526499
0.307355	8.29638e-06	0.487081	0.015648	0.00160115	0.00815906
0.307371	8.37329e-06	0.487085	0.0157656	-0.00175028	0.00373695
0.30739	1.336e-05	0.487093	0.0193441	0.0058906	0.00802325
0.307409	1.23396e-05	0.487095	0.0187885	-0.00230946	0.00290394
0.307429	1.33925e-05	0.487101	0.019798	0.00274313	0.00564795
0.307445	1.20173e-05	0.487102	0.0159349	-0.00109261	0.000914871
0.307463	1.08057e-05	0.487108	0.0179033	-0.00156046	0.00580116
0.307481	1.15931e-05	0.487117	0.0180027	0.00170239	0.00869652
0.307499	1.15564e-05	0.487121	0.0181192	-0.00164703	0.00427694
0.30752	1.67653e-05	0.487129	0.0216962	0.00599712	0.0085634
0.307541	1.57086e-05	0.487133	0.0211405	-0.0021993	0.00344405
0.307564	1.70795e-05	0.487139	0.0221487	0.00285478	0.00618746
0.307582	1.58552e-05	0.48714	0.0182851	-0.000979846	0.00145507
0.307602	1.47233e-05	0.487147	0.0202522	-0.00144826	0.0063411
0.307623	1.57301e-05	0.487156	0.02035	0.00181364	0.00923642
0.307643	1.56339e-05	0.487161	0.0204655	-0.00153651	0.00481942
0.307667	2.10403e-05	0.48717	0.0240407	0.00610547	0.00910535
0.307691	1.99762e-05	0.487174	0.0234845	-0.00209106	0.00398689
0.307715	2.16148e-05	0.487181	0.0244909	0.0029621	0.00672957
0.307736	2.05284e-05	0.487183	0.020627	-0.000871229	0.00199879
0.307758	1.94775e-05	0.48719	0.0225929	-0.00134006	0.00688465
0.307781	2.06779e-05	0.487199	0.0226893	0.00192258	0.0097802
0.307804	2.05536e-05	0.487205	0.0228037	-0.00142755	0.00536531
0.30783	2.614e-05	0.487214	0.0263771	0.0062147	0.00965064
0.307856	2.50913e-05	0.487219	0.0258204	-0.00198134	0.00453259
0.307883	2.69681e-05	0.487226	0.0268248	0.00307158	0.00727483
0.307906	2.60147e-05	0.487229	0.0229601	-0.000761156	0.00254556
0.307931	2.50502e-05	0.487236	0.0249245	-0.0012308	0.00743149
0.307956	2.6428e-05	0.487246	0.0250192	0.00203178	0.0103276
0.307981	2.62999e-05	0.487252	0.0251323	-0.00131884	0.00591525
0.30801	3.20524e-05	0.487263	0.028704	0.00632329	0.0102
0.308038	3.10342e-05	0.487268	0.0281468	-0.00187273	0.0050824
0.308067	3.31247e-05	0.487275	0.0291492	0.00318	0.00782407
0.308092	3.22988e-05	0.487279	0.0252837	-0.000652149	0.0030962
0.308119	3.14233e-05	0.487287	0.0272467	-0.00112234	0.00798206
0.308147	3.2966e-05	0.487297	0.0273397	0.0021405	0.0108787
0.308174	3.28518e-05	0.487304	0.0274512	-0.00121069	0.00646902
0.308205	3.87604e-05	0.487315	0.031021	0.00643189	0.0107533
0.308236	3.77851e-05	0.48732	0.030463	-0.00176429	0.00563619
0.308267	4.00717e-05	0.487329	0.0314634	0.00328836	0.00837746
