Xl_x	Xl_y	Xl_z	Vl_x	Vl_y	Vl_z
0.554538	0.00768929	0.279994	0.000503004	-8.09223e-05	3.54462e-05
0.560523	-0.0566861	0.0609407	-0.000726037	-0.00019765	-0.00155777
0.560525	-0.0566848	0.0609442	0.000174035	-6.45412e-05	0.000176401
0.560526	-0.0566853	0.0609489	0.000553575	8.15422e-05	0.00171198
0.560525	-0.0566829	0.0609428	2.12552e-05	0.000484579	-0.000887452
0.560524	-0.0566847	0.0609437	-0.000192484	-0.000776107	-0.000198416
0.560528	-0.056683	0.0609468	0.000631612	0.000642051	0.000554018
0.560525	-0.056686	0.060945	-0.000414977	-0.000714356	-0.000436008
0.560525	-0.0566841	0.0609458	2.26511e-05	0.000103277	0.000208904
0.560524	-0.0566857	0.0609444	-0.000703324	-0.000535003	-0.000623507
0.560524	-0.056681	0.0609422	-0.000207687	0.00124733	-0.000805205
0.560527	-0.0566883	0.0609491	0.000768513	-0.0011907	0.00179961
0.560522	-0.0566861	0.060942	-0.000749054	7.34247e-05	-0.00107751
0.560526	-0.0566782	0.060945	0.00060115	0.00232395	-6.51235e-05
0.560525	-0.0566828	0.0609462	-8.52412e-07	-7.16072e-05	0.000646328
0.560525	-0.0566794	0.0609434	4.64887e-06	0.000684259	-0.000417299
0.560526	-0.0566868	0.0609451	0.000348612	-0.00167943	0.00028259
0.560525	-0.0566824	0.0609429	3.37498e-05	0.000448065	-0.000554329
0.560524	-0.056686	0.060944	-0.00016817	-0.00084325	0.000104689
0.560526	-0.0566876	0.0609462	0.000435109	-0.00149665	0.000756492
0.560523	-0.0566873	0.0609438	-0.000647244	-0.000668476	-0.000316041
0.560525	-0.0566845	0.0609464	0.000166248	0.000193482	0.000335792
0.560529	-0.0566788	0.0609459	0.00119177	0.00232907	0.000275923
0.560526	-0.0566827	0.0609459	-0.000278176	-0.00011068	3.50719e-05
0.560527	-0.056684	0.0609474	0.00025451	-0.000565627	0.00040059
0.560523	-0.0566839	0.0609416	-0.00137838	-4.03951e-05	-0.00180991
0.560523	-0.0566847	0.0609434	-0.000518306	-0.000509973	-0.00019339
0.560526	-0.0566809	0.0609471	0.000741349	0.000829009	0.00118386
0.560524	-0.0566837	0.0609444	-0.0002065	7.30532e-06	-3.34567e-05
0.560525	-0.0566828	0.0609463	0.000126921	6.35309e-06	0.000561905
0.560525	-0.0566822	0.0609451	2.05071e-05	0.000483625	-0.000399068
0.560524	-0.0566876	0.0609448	-5.21065e-05	-0.0012975	-6.60737e-05
0.560525	-0.0566798	0.0609448	0.00028698	0.00134306	0.000160632
0.560523	-0.0566812	0.0609428	-0.00101912	0.000258827	-0.00103184
0.560526	-0.0566795	0.0609451	0.000435018	0.000298	0.000356008
0.560525	-0.0566816	0.0609454	-3.9225e-05	0.000131939	0.000170018
0.560524	-0.0566841	0.0609425	-0.000207198	-0.000482041	-0.000696869
0.560524	-0.0566858	0.0609438	7.7652e-05	-0.000820525	8.56691e-05
0.560524	-0.0566828	0.0609441	-5.68394e-05	0.000521491	0.000202273
0.560523	-0.0566829	0.0609416	-0.000444521	0.000276363	-0.000777311
0.560525	-0.0566826	0.0609436	0.000425356	0.000287667	-0.000144777
0.560525	-0.0566815	0.060944	0.000167465	0.000165293	0.000218193
0.560525	-0.0566822	0.0609451	-8.63913e-05	9.71558e-05	0.000371257
0.560526	-0.0566839	0.0609462	0.000122737	-0.000370823	0.000670275
0.560522	-0.0566834	0.0609426	-0.000770379	-0.000449381	-0.000637698
0.560526	-0.0566852	0.0609449	0.0006682	-0.000648771	0.000270208
0.560525	-0.0566873	0.0609459	0.000284812	-0.00100892	0.000602015
0.560523	-0.0566835	0.0609426	-0.000449222	-0.00016729	-0.000516686
0.560525	-0.056679	0.0609454	0.000211793	0.0015255	0.000500116
0.560524	-0.056681	0.0609399	-0.000185501	0.000358322	-0.00147314
0.560525	-0.0566797	0.0609435	0.000259494	0.000316056	0.000338141
0.560524	-0.0566808	0.0609422	-8.52704e-05	0.000161897	-0.000250164
0.560524	-0.056681	0.0609433	9.40299e-05	0.000139225	0.000173185
0.560528	-0.0566816	0.0609489	0.00122376	0.000280381	0.00188095
0.560523	-0.0566843	0.0609432	-0.000741957	-0.000553502	-0.000657755
0.560526	-0.0566829	0.0609444	-7.66274e-05	-0.000335873	-0.000177413
0.560526	-0.0566852	0.060945	0.00034581	-0.000678103	0.000159802
0.560524	-0.0566799	0.0609406	-0.000625568	0.00101785	-0.00132759
0.560526	-0.0566826	0.0609432	0.000159348	-0.000319213	-4.16736e-05
0.560525	-0.0566841	0.0609454	-0.000230847	-0.0007565	0.000530989
0.560525	-0.0566826	0.0609441	2.05871e-06	-5.55359e-06	6.73778e-05
0.560523	-0.0566844	0.0609423	-0.000583697	-0.000594341	-0.00052981
0.560523	-0.0566841	0.0609449	-0.000420957	1.41934e-06	0.000165703
0.560526	-0.0566822	0.0609455	0.000557113	0.000655362	0.000523485
0.560524	-0.0566795	0.0609419	-7.56103e-05	0.00143982	-0.000733238
0.560523	-0.0566839	0.0609431	-0.000257933	-0.000132335	-9.72754e-05
0.560524	-0.0566831	0.060944	-0.000208956	-7.7609e-05	-9.22686e-05
0.560525	-0.0566873	0.0609468	0.000106392	-0.00159204	0.000680143
0.560525	-0.0566827	0.0609437	0.000499666	0.000546274	-0.000181756
0.560524	-0.0566853	0.0609449	-4.7311e-05	-0.000139655	0.000337943
0.560524	-0.0566811	0.0609429	-0.000233402	0.00143461	-0.000420478
0.560525	-0.0566841	0.0609452	0.000404644	2.66738e-06	0.000481755
0.560525	-0.0566812	0.0609416	6.74118e-05	0.000983198	-0.000885713
0.560525	-0.0566829	0.0609437	0.000144805	-0.000330486	-0.00018257
0.560527	-0.0566793	0.0609458	0.000703822	0.000919612	0.000852753
0.560527	-0.056682	0.0609451	0.000215242	9.35829e-06	0.000167587
0.560525	-0.0566798	0.0609439	-0.000222152	0.00049517	-0.000149821
0.560525	-0.0566778	0.0609456	-0.000295453	0.000852356	0.000122289
0.560524	-0.0566795	0.0609433	-0.000498334	5.05908e-06	-0.000421969
0.560524	-0.0566839	0.0609434	-0.000359412	-0.00106907	-0.000158647
0.560525	-0.0566845	0.060945	0.000124845	-0.00119226	0.000153526
0.560522	-0.0566814	0.0609424	-0.000837186	0.000151356	-0.000850697
0.560525	-0.0566811	0.0609439	0.000420929	0.000229102	0.000284893
0.560523	-0.05668	0.0609417	-0.000345465	3.9428e-05	-0.000443606
0.560522	-0.0566808	0.060941	-0.000460408	3.39696e-05	-0.000857274
0.560525	-0.0566836	0.0609442	0.000511473	-0.000425636	0.000702401
0.560527	-0.0566829	0.0609452	0.000578748	-0.000300286	0.000371704
0.560526	-0.056681	0.0609457	0.000447375	0.000395764	0.000843966
0.560524	-0.0566823	0.0609446	-8.71634e-05	0.00022361	0.000325362
0.560522	-0.0566818	0.0609403	-0.000736545	-0.00031507	-0.00116176
0.560524	-0.0566814	0.060942	-7.03718e-05	-0.000197804	-0.000508402
0.560523	-0.0566765	0.0609415	-0.000175394	0.001445	-0.000305899
0.560523	-0.0566797	0.060942	-9.95305e-05	-0.000127403	1.59772e-05
0.560525	-0.0566809	0.060946	0.000157077	-0.000547613	0.00119577
0.560526	-0.0566792	0.0609465	0.00063962	0.000212353	0.00109946
0.560524	-0.0566794	0.0609431	-0.000116709	8.18863e-05	-0.000373192
0.560525	-0.0566762	0.0609429	0.000321779	0.00115529	-0.00020481
0.560524	-0.0566795	0.0609441	8.28494e-07	-0.000322863	0.000284482
0.560524	-0.0566731	0.0609435	0.000151895	0.00191454	1.42789e-05
0.560527	-0.0566774	0.0609475	0.00068942	-0.000217978	0.000894222
0.560527	-0.056676	0.0609463	0.000661221	0.000326633	0.000408828
0.560526	-0.0566777	0.0609451	9.54891e-07	-0.000328068	3.17669e-05
0.560526	-0.0566781	0.0609443	-9.15447e-05	-0.000822998	-0.000595097
0.560526	-0.0566723	0.0609449	9.71394e-05	0.0016736	2.00508e-05
0.560526	-0.0566774	0.0609467	0.000281085	-0.00044266	0.00073725
0.560524	-0.0566778	0.0609442	-0.000512783	-0.000389052	-0.000293685
0.560526	-0.0566811	0.0609457	-0.000140281	-0.00139451	-0.000139237
0.560526	-0.0566729	0.0609453	0.000236377	0.00181539	1.4966e-05
0.560528	-0.0566728	0.060945	0.000711534	0.00124619	3.51926e-06
0.560526	-0.056678	0.0609453	-0.000199033	-0.00133663	0.000206701
0.560524	-0.0566808	0.0609436	-0.000499015	-0.00147318	-0.000408133
0.560527	-0.0566764	0.0609457	0.00047183	0.000159036	0.000511453
0.560525	-0.0566774	0.0609438	-0.000320648	3.0849e-05	-0.000401745
0.560523	-0.0566781	0.0609415	-0.000885292	-6.76216e-05	-0.00100025
0.560525	-0.0566779	0.0609446	-0.000117622	3.7309e-05	0.000289644
0.560523	-0.056678	0.0609416	-0.000566922	-1.51235e-05	-0.000844303
0.560526	-0.0566744	0.0609438	0.000662678	0.00120048	0.000188992
0.560527	-0.0566744	0.0609453	0.00048832	0.000766551	0.000226954
0.560525	-0.0566748	0.0609425	-0.000239333	0.000414986	-0.000442165
0.560524	-0.056678	0.0609423	-0.000183796	-0.000787697	-0.000171289
0.560525	-0.0566763	0.0609436	7.29627e-05	5.80741e-05	0.000215389
0.560524	-0.0566752	0.0609416	-0.000217583	6.10233e-07	-0.000402551
0.560527	-0.0566756	0.0609478	0.000837798	0.000151447	0.00177002
0.560525	-0.0566747	0.0609415	-0.000160992	0.000466209	-0.00100936
0.560523	-0.0566765	0.0609409	-0.000819424	-0.000246083	-0.000803322
0.560525	-0.0566762	0.0609444	3.58323e-05	-8.1149e-05	0.000560636
0.560525	-0.0566746	0.0609434	0.000165898	0.000471318	1.00018e-05
0.560527	-0.0566762	0.0609455	0.000670284	-0.000635053	0.000767672
0.560524	-0.0566742	0.0609447	-0.000685421	0.000470285	-0.000189399
0.560525	-0.0566729	0.0609419	-0.00010415	0.000899832	-0.000743903
0.560529	-0.0566804	0.06095	0.00189935	0.00163978	0.00224434
0.560523	-0.0566766	0.0609402	-0.000688271	0.00268683	-0.0016832
0.560524	-0.0566795	0.0609444	-8.37718e-05	0.00103886	0.000314991
0.560527	-0.0566743	0.0609474	0.000627323	0.00254164	0.000730323
